id,title,price,sqft,image,url,post_published_date,lat,long,postal_code,FSA,rental_type,bedrooms,bathrooms,furnished,pet_friendly,description,source
c_7200612095,1 BR condo at 68 Abell St--Queen West-- Available Oct 1,1600,420.0,https://images.craigslist.org/00J0J_8zBmjxmDi03_0oc0g8_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/toronto-1-br-condo-at-68-abell-st-queen/7200612095.html,2020-09-21,43.642777,-79.424243,M6J,M6J,condo,1.0,1.0,,False,"1BR / 1Ba 420ft2 available oct 1 condo w/d in unit no smoking attached garage/ 1br - 420ft2 -Big intersection: Queen West & Dufferin St
Address : 68 Abell Street, Toronto, M6J 0B1
Moving in date: October 1, 2020

Very Functional One Bedroom Suite With Balcony. Floor To Ceiling Window In Both Bedroom And Living Room. 24 Hr Street Car, Minutes To Everywhere, The Drake Hotel, Starbucks, Tim Hortons, Shops, Gallery And Grocery. Walk To Liberty Village And Trinity Bellwood Park.**** EXTRAS **** Stainless Steels Appliances, Ensuite Laundry, Modern Kitchen, Granite Countertop With Backsplash. Tenant Pays For Hydro & Cable and Tenant Insurance . The Wall Paint Will Be Touched Up Prior To Closing.

This unit is perfect for single professional. very quiet.

Parking spot is available to rent from other condo owner in the building

No any kinds of Smoking ( cigerette and marijuana) is allowed in the building, no pets please.

Job letter ( or recent pay-stub) and Credit Report with Score are required when applying

For viewing, please text at show contact info",craigslist
c_7187385635,"ALL INCLUSIVE 2 bedroom Furnished -Main Subway, Available Oct 1",1595,,https://images.craigslist.org/01010_fAb2gD7xgA1_0ak07K_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/east-york-all-inclusive-2-bedroom/7187385635.html,2020-09-21,43.693118,-79.297176,M4C 5B9,M4C,house,2.0,1.0,True,False,"2BR / 1Ba available oct 1 furnished house w/d in unit no smoking street parking/ 2br -ALL INCLUSIVE 2 Bedroom Apt Furnished - Main Subway Available OCT 1

AVAILABLE October 1, 2020 and EVERYTHING INCLUDED

Fully Furnished Two bedroom Basement Apartment. Ensuite laundry. Private Separate Entrance.

Located in trendy Danforth Village in East York on a quiet dead end street close to great restaurants, shops, parks, bike trails, schools, churches and public transport.

Ideal for International students, couples, and working holiday visas for long or short stays.

LGBT friendly

Only a 7 minute walk to Main Subway TTC and Danforth GO Train. (TTC commute to Yonge and Bloor is 20 minutes. Danforth GO commute to Union Station is 10 minutes).

Permit Street Parking easily available through the City of Toronto.

UTILITIES INCLUDED: heat, air conditioning, hydro, electric, water, laundry, and wireless hi - speed unlimited internet.

First and last month’s rent with References required.


VIEWINGS STARTING SEPT 1

CONTACT: Name, Phone, Email, Occupation and Duration of Occupancy to view. (Due to the large number of applicants only those selected will be contacted.)",craigslist
c_7200606976,Beautiful Rooms for rent in North York (immediate move in),600,,https://images.craigslist.org/00x0x_1wSiPFUT3f0_07K057_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/north-york-beautiful-rooms-for-rent-in/7200606976.html,2020-09-21,43.804775,-79.380681,M2M 2Z5,M2M,house,4.0,3.0,True,False,"4BR / 3Ba available now furnished house laundry on site no smoking carport/ 4br -353 Goldenwood Rd, North York, ON

$900 Master bedroom with newly renovated washroom (immediate move in)

2 x $600 Half basement rooms for rent! (move in on Oct 01, 2020)

1 Year lease or longer.


I have a perfect house for students and professionals who want to live in a house that's beautiful, quiet within a great neighborhood that's also close to their school and have an easy access to 24 hour public transportation.

I'm looking for clean, quiet and respectful tenants with stable financial situation (credit check and other financial documents will be required upon signing the lease).

All rooms include:

- FASTEST internet in North America with UNLIMITED data. (1 Gigabit/Sec Download speed which is more than 20 times faster than the average internet!)

- All utilities with a washing machine and a dryer

Highlight features of my neighborhood are:

- #53 bus close to the house that goes directly to Finch Subway Station

- 3 mins walking distance to steeles ave and bus stop (24/7 Serivce)

- 3 mins walking distance to shoppers, gas station and plaza.

- 3 mins walking distance to a beautiful park that has baseball diamond, free tennis courts (open till 11pm everyday)

- 3 mins walking distance to a forest (longest forest trail in GTA with WATERFALL and Ravine!)

- less than 10 mins walking distance to Leslie street.

- Part of A.Y Jackson High School district.

- 5 mins walking distance to the Canadian Memorial Chiropractic College.

- 10 mins to Seneca College by Bus.

Everyone is welcome to call me at show contact info and set an appointment to see the beautiful house and it's surroundings for yourself!!!",craigslist
c_7200610375,GORGEOUS RENOVATED-2 BEDROOM UNIT- QUEENSWAY & PARKLAWN!!!,2100,950.0,https://images.craigslist.org/00B0B_83hUDfsiTPG_0CI0kd_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/etobicoke-gorgeous-renovated-2-bedroom/7200610375.html,2020-09-21,43.633793,-79.487718,M8Y 1R8,M8Y,suite,2.0,1.0,,True,"2BR / 1Ba 950ft2 available oct 1 cats are OK - purrr dogs are OK - wooof apartment w/d in unit no smoking off-street parking/ 2br - 950ft2 -LUXURIOUS & SPACIOUS 2-BEDROOM UNIT IN THE SIXPLEX BUILDING!!!

PRIME LOCATION IN HUMBER BAY COMMUNITY!
Queensway – Park Lawn Road (NEAR HIGH PARK!!!)

NEWLY RENOVATED light, bright & spacious, OPEN CONCEPT 2-BEDROOM UNIT in a very quiet family neighbourhood. MUST BE SEEN!!!!

FEATURES:

➢ Very Bright Spacious living and dining area
➢ Large open concept new eat-in kitchen with countertop peninsula (dishwasher, fridge & stove)
➢ 2 spacious bedrooms
➢ Complete 4 piece bathroom (with tub & shower)
➢ Private In-suite laundry (washer & dryer)
➢ Private balcony
➢ Ductless A/C
➢ Onsite parking space available


PRICE: $2,100.00 (+ hydro)

Don’t miss out on this opportunity!

LOCATION:

Easy access to Gardiner, 427, QEW, 10 minutes car ride to downtown. TTC accessible (steps to bus stop)
Walking distance to many Parks, Schools, and Libraries.
Beautiful walks along Lakeshore waterfront, Humber River, High Park. Great area for cycling.
Close to Bloor West Village with many restaurants, stores and banks.
Steps to SOBEYS and METRO grocery stores, SHOPPERS DRUG MART and shopping plaza with walk-in medical clinic.


TTC TRANSPORTATION:

Accessible from the Bloor –Danforth subway by 3 bus routes:
Route 66A or 66B buses from Old Mill station. Ride time approximately 10 minutes.
Route 80 bus from Keele station. Ride time approximately 10 minutes.",craigslist
c_7200602760,Basement Apartment,750,,https://images.craigslist.org/00j0j_gntmBwGe9O2_0lM0t2_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/richmond-hill-southwest-basement/7200602760.html,2020-09-21,43.8669,-79.4414,L4C 9S5,L4C,apartment,,,,False,"available sep 25 apartment w/d in unit A beautiful 2 bedroom Basement apartment . At Richmond hill area - Bayview and Elgin Mills

There are windows in every room. Free access to the backyard. Separate Entrance, Kitchen, Shower room and parking.
A huge living room, laundry and Wi-Fi.

The TTC is just around the Corner.

Available from October 1st or earlier.

The entire place is $1,300/ per month Plus some utilities

It is also available to rent by the rooms : $750 - $850 per month for each room

Please contact by the e-mail for more details and to book the showing.

Students are also welcome",craigslist
c_7200604673,2 bed 1 bath basement DuPont st in the junction,1795,900.0,https://images.craigslist.org/00808_95Y9x8gJAry_0t20jm_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/toronto-2-bed-1-bath-basement-dupont-st/7200604673.html,2020-09-21,43.664363,-79.457843,M6P 1T4,M6P,apartment,2.0,1.0,,True,"2BR / 1Ba 900ft2 available sep 26 cats are OK - purrr dogs are OK - wooof apartment w/d in unit off-street parking/ 2br - 900ft2 -Spacious 2 bedroom apartment with lots of space to entertain.

THE APARTMENT
- 2 bedroom
- Open Concept kitchen with quartz countertop
- pot-lights through out
-Renovated bathroom
- new Washer/Dryer in unit
- Available Immediately
- $1795+ ($100/month) Utilities

THE LOCATION - LESS than a 10 minute walk to Lansdowne subway station. Lansdowne and Dufferin buses just minutes away! - Beautiful neighbourhood with a Walk Score of 85!!! - Close to Lansdowne, Bloor, Dufferin, Dovercourt, Dundas, Davenport and Keele St. - Dufferin Mall and the Galleria Shopping Centre within walking distance - Bike to High Park in 10 minutes! - Located in the Wallace Emerson neighbourhood, Bloordale Village, Junction Triangle, Dovercourt Park and more nearby!

If you are interested respond to this ad with your name and phone number, if you are calling please indicate the ad title and pricing. Thanks!",craigslist
c_7199431318,"Core Downtown, FULLY FURNISHED Studio Condo w/Wi-Fi, TV, Cable, Phone",1699,600.0,https://images.craigslist.org/00H0H_57Tx8MDNOsg_0dj0ar_600x450.jpg,https://toronto.craigslist.org/tor/apa/d/toronto-core-downtown-fully-furnished/7199431318.html,2020-09-21,43.654351,-79.37916,M5B 1V8,M5B,condo,0.0,1.0,True,False,"0BR / 1Ba 600ft2 available oct 31 furnished condo w/d in unit wheelchair accessible/ 600ft2 -In A Great Toronto Downtown Location, The Pantages Condominiums Are Home To This Chic Designer Studio Literally Seconds Away From World Famous Yonge Street, Eaton Centre, Massey Hall, Epic Shopping Venues, Cinemas, Restaurants, Dundas and Queen Subway Stations and TTC Street Cars, Even A Fran's At Street-Level! Whether you're Just Starting Out in Toronto, Searching for an ideal home or Simply Trying to Shorten Your Commute, This Beautifully Appointed Hardwood Floor FULLY FURNISHED Large Executive Luxury Studio CONDO With Underground Parking at 210 Victoria St., Toronto, ON M5B 2R3 has it all.
• Close to The Hospital for Sick Children, Mount Sinai Hospital, Queen Elizabeth Hospital, Women's College Hospital, Toronto General Hospital, Princess Margaret Hospital, St Michael's Hospital, University of Toronto, Ryerson University, Queen's Park, Eaton Centre, College Park Shops and many more
• Intersection of Yonge and Dundas in Core downtown Toronto

BUILDING AMMENITIES includes

- Private lobby entrance with 24-hour concierge
- Fitness center and Recreation Room
- Guest Suites
- Security System
-Health Club and Spa
-Business Centre

THIS FULLY FURNISHED CONDO has

- En-suite washer and dryer
- Stove-oven, fridge, dishwasher and microwave
- Double bed with linens and two night tables and lamps
-Dining table with chairs
- Fully equipped kitchen
- Fast Internet and Wireless Access, LCD HDTV with TV Cable and phone with unlimited local calls
-Pots and pans, cutleries, towels, iron and ironing board and many more

This Condo is available for rent from October 31, 2020. Rent is $1699/month including all utilities (heating/CAC, hydro and water), all furnishing and many more. Just Move In!!!",craigslist
c_7195700072,Top Floor Condo For Rent,1220,,,https://toronto.craigslist.org/tor/apa/d/central-toronto-top-floor-condo-for-rent/7195700072.html,2020-09-21,43.6736,-79.4035,M5R 2R8,M5R,condo,1.0,0.0,True,False,"1BR / 0Ba furnished apartment/ 1br -Spectacular 800 sqft 1 bedroom in the heart of the Annex. Includes an open balcony. Top floor of a beautifully maintained condo complex. New appliances. En-suite laundry. North facing with a balcony and a view. Includes a rooftop patio with gardens, barbecues and a whirlpool. Literally steps to the St. George subway station. Quiet residential street yet close to all amenities including grocery shopping, etc. One block from the University of Toronto. The main intersection is St. George and Bloor.",craigslist
c_7195682289,Oct 1st - 1 BR basement Apt. for Rent,981,,,https://toronto.craigslist.org/tor/apa/d/scarborough-oct-1st-1-br-basement-apt/7195682289.html,2020-09-21,43.7612,-79.2707,M1P 3A6,M1P,house,1.0,0.0,True,False,"1BR / 0Ba furnished apartment/ 1br -One Bedroom Basement Apartment for Rent in Bungalow house located in quiet family-friendly Neighborhood in Kennedy rd/Lawrence ave Area. Roger's Gigabit High Speed INTERNET Included. The bus stops at door steps and 5 minutes to Kennedy Subway station, 20 minutes to Downtown Toronto. 2 minutes to HWY 401, 5 minutes to DVP.
Walking Distance To Good Life, Shopping Centre, Library, Rec Centre, Public School (Elementary and High School) & Catholic School. 5 minutes walk to TTC Bus stops at and 5 minutes to Kennedy Subway station, 25 minutes to Downtown Toronto. 2 minutes to HWY 401, 5 minutes to DVP. All Ceramic tiles throughout.",craigslist
c_7195681122,Bachelor / Studio Basement Apartment for Rent.,1060,,,https://toronto.craigslist.org/tor/apa/d/north-york-bachelor-studio-basement/7195681122.html,2020-09-21,43.7081,-79.4479,M6B 2A7,M6B,apartment,1.0,0.0,True,False,"1BR / 0Ba furnished apartment/ 1br -Bachelor / Studio Basement Apartment for Rent.
Fully furnished. Just move in!.
Available: Immediately or Oct. 01, 2020
Located on RISA Blvd, (Dufferin and Glencairn). Very good and quiet neighborhood. Walking distance to Glencairn subway station and Dufferin busses.
The place has been recently renovated with an upscale taste and includes bedroom, bathroom and kitchen, all in one suit.",craigslist
