FSA,Average_Income
M1B,30679.49815
M1C,51018.70702
M1E,36469.54721
M1G,27923.1376
M1H,31647.27366
M1J,29308.98669
M1K,29838.3964
M1L,32342.74721
M1M,45270.64373
M1N,55511.12419
M1P,31336.05991
M1R,33371.84801
M1S,31599.08862
M1T,32684.46915
M1V,28185.3648
M1W,34021.18977
M1X,32308.49292
M2H,41668.18613
M2J,37688.86326
M2K,55721.74137
M2L,117362.2039
M2M,40288.10109
M2N,44988.4962
M2P,133867.638
M2R,36254.78802
M3A,44054.97885
M3B,124592.3204
M3C,42811.45521
M3H,60156.55029
M3J,29158.26949
M3K,43443.65079
M3L,29834.72419
M3M,32941.57363
M3N,24784.608
M4A,38352.22816
M4B,44048.4375
M4C,41353.11522
M4E,83258.0294
M4G,122920
M4H,23701.21858
M4J,50671.96885
M4K,63847.61506
M4L,64260.27919
M4M,54544.16712
M4N,211828.7854
M4P,69787.12418
M4R,136834.6375
M4S,76960.79102
M4T,183044.697
M4V,167263.3119
M4W,202622.069
M4X,38494.63944
M4Y,50632.03021
M5A,50511.19501
M5B,46121.436
M5C,145786.911
M5E,89985.55241
M5G,26468.4346
M5H,178935.8871
M5J,94132.24907
M5K,172630.5556
M5L,237900
M5M,121093.9227
M5N,120636.3564
M5P,145550.4021
M5R,120758.4789
M5S,73415.47721
M5T,36766.07015
M5V,76540.54826
M5W,89029.41176
M5X,386127.2727
M6A,40898.57605
M6B,54777.93531
M6C,68644.71413
M6E,34659.7351
M6G,57558.07137
M6H,41532.98029
M6J,55496.20893
M6K,43113.46616
M6L,34011.76471
M6M,31173.49548
M6N,33135.44264
M6P,54895.31039
M6R,69978.55114
M6S,79046.26866
M7A,#DIV/0!
M7Y,#DIV/0!
M8V,53114.07382
M8W,47936.60934
M8X,137983.8084
M8Y,61165.37764
M8Z,62610.78652
M9A,85128.78949
M9B,59289.96513
M9C,48608.04783
M9L,30452.44399
M9M,30687.31905
M9N,33422.27414
M9P,50239.79406
M9R,37825.68842
M9V,26914.85423
M9W,32810.83563
