id,address,latitude,longitude
0,"655 Bay St, 14th Fl Toronto, ON M7A 2A3",43.6578126,-79.3844494
1,"655 Bay St, 14th Fl Toronto, ON M7A 2A3",43.6578126,-79.3844494
2,"655 Bay St, 14th Flr Toronto, ON M7A 2A3",43.6578126,-79.3844494
3,"4600 Bathurst St, 4th Fl Toronto, ON M2R 3V2",43.7641285,-79.4418197
5,"105 Grange Court Toronto, ON M5T 2J6",43.6515361,-79.3988824
6,"315 Dundas St E Toronto, ON M5A 2A2",43.6583355,-79.370399
7,"6464 Yonge St Toronto, ON M2M 3X4",43.7958721,-79.4222843
8,"Inside Duke of Connaught Public School 60 Woodfield Rd Toronto, ON M4L 2W6",43.6658905,-79.3227024
9,"555 Burnhamthorpe Rd, Suite 209 Toronto, ON M9C 2Y3",43.6448193,-79.5679826
13,"152 Carlton St, Unit 201 Toronto, ON M5A 2K1",43.6630098,-79.3745838
14,"789 Don Mills Rd, Suite 1010 Toronto, ON M3C 1T5",43.7185438,-79.3374904
15,"Prosserman Jewish Community Centre 4588 Bathurst St, Unit 1-22 Toronto, ON M2R 1W6",43.7631527,-79.4420738
16,"35 Sydenham St Toronto, ON M5A 4H5",43.6567278,-79.3624678
17,"150 Duncan Mill Rd, Unit 2 Toronto, ON M3B 3M4",43.7621855,-79.3569401
18,"161 Bartley Dr Toronto, ON M4A 1E6",43.7210901,-79.3094968
19,"1003 Steeles Ave W Toronto, ON M2R 3T6",43.7919131,-79.4472141
20,"102 Ascolda Blvd Toronto, ON M1J 2P4",43.74812,-79.2371826
21,"Edison Centre Building 2345 Yonge St, Suite 501 Toronto, ON M4P 2E5",43.7088949,-79.3981673
22,"191 Gerrard St E Toronto, ON M5A 2E5",43.660901,-79.3725585
23,"5 Fairview Mall Dr, Suite 478 Toronto, ON M2J 2Z1",43.7785676,-79.3478758
24,"2401 Eglinton Ave E, Unit 310 Toronto, ON M1K 2N8",43.7315543,-79.2683854
